         Train  Validation
0     7.643984    7.640275
1     7.640470         NaN
2     7.635602         NaN
3     7.630188         NaN
4     7.624021         NaN
5     7.622402         NaN
6     7.622005         NaN
7     7.621805         NaN
8     7.618240         NaN
9     7.612583         NaN
10    7.609612         NaN
11    7.610853         NaN
12    7.608717         NaN
13    7.612136         NaN
14    7.608480         NaN
15    7.610239         NaN
16    7.605804         NaN
17    7.603410         NaN
18    7.602209         NaN
19    7.602947         NaN
20    7.602989         NaN
21    7.602109         NaN
22    7.604819         NaN
23    7.600861         NaN
24    7.601949         NaN
25    7.598643         NaN
26    7.595946         NaN
27    7.592001         NaN
28    7.592815         NaN
29    7.592175         NaN
30    7.596562         NaN
31    7.593321         NaN
32    7.595731         NaN
33    7.592367         NaN
34    7.585778         NaN
35    7.584290         NaN
36    7.584067         NaN
37    7.582050         NaN
38    7.581117         NaN
39    7.585505         NaN
40    7.581402         NaN
41    7.582858         NaN
42    7.577553         NaN
43    7.573849         NaN
44    7.569715         NaN
45    7.572324         NaN
46    7.570106         NaN
47    7.575049         NaN
48    7.570728         NaN
49    7.572354         NaN
50    7.571659         NaN
51    7.562024         NaN
52    7.560939         NaN
53    7.564269         NaN
54    7.560576         NaN
55    7.559607         NaN
56    7.565227         NaN
57    7.562354         NaN
58    7.563511         NaN
59    7.556976         NaN
60    7.554187         NaN
61    7.551522         NaN
62    7.555735         NaN
63    7.551383         NaN
64    7.558622         NaN
65    7.552156         NaN
66    7.555768         NaN
67    7.555827         NaN
68    7.545433         NaN
69    7.544923         NaN
70    7.551226         NaN
71    7.544651         NaN
72    7.544651         NaN
73    7.552100         NaN
74    7.548805         NaN
75    7.551190         NaN
76    7.543108         NaN
77    7.540765         NaN
78    7.539338         NaN
79    7.543151         NaN
80    7.540011         NaN
81    7.547297         NaN
82    7.539922         NaN
83    7.544713         NaN
84    7.545888         NaN
85    7.534857         NaN
86    7.534935         NaN
87    7.540973         NaN
88    7.533309         NaN
89    7.536459         NaN
90    7.543729         NaN
91    7.538828         NaN
92    7.541411         NaN
93    7.534718         NaN
94    7.533081         NaN
95    7.532648         NaN
96    7.534578         NaN
97    7.530547         NaN
98    7.540008         NaN
99    7.533516         NaN
100   7.538458    7.647854
