Name: PixelCNN-DS-DEBUG
Factorised: False
Learning rate: 0.001

         Train  Validation
1     1.958916    1.642176
2     1.667456         NaN
3     1.455521         NaN
4     1.340950         NaN
5     1.321135         NaN
6     1.246146         NaN
7     1.277586         NaN
8     1.217638         NaN
9     1.191743         NaN
10    1.134685         NaN
11    1.130101         NaN
12    1.084421         NaN
13    1.056686         NaN
14    1.070557         NaN
15    1.039148         NaN
16    0.973959         NaN
17    0.973874         NaN
18    0.974234         NaN
19    1.005334         NaN
20    0.976576         NaN
21    0.959543         NaN
22    0.951652         NaN
23    0.916734         NaN
24    0.917311         NaN
25    0.902719         NaN
26    0.889341         NaN
27    0.862103         NaN
28    0.865187         NaN
29    0.820503         NaN
30    0.877048         NaN
31    0.808526         NaN
32    0.838652         NaN
33    0.804783         NaN
34    0.767717         NaN
35    0.814339         NaN
36    0.808613         NaN
37    0.805032         NaN
38    0.746715         NaN
39    0.761455         NaN
40    0.710821         NaN
41    0.755117         NaN
42    0.733828         NaN
43    0.758403         NaN
44    0.702080         NaN
45    0.702806         NaN
46    0.651543         NaN
47    0.762887         NaN
48    0.786029         NaN
49    0.691035         NaN
50    0.698198         NaN
51    0.632728         NaN
52    0.645058         NaN
53    0.638175         NaN
54    0.721878         NaN
55    0.635626         NaN
56    0.780081         NaN
57    0.721224         NaN
58    0.642376         NaN
59    0.663934         NaN
60    0.683782         NaN
61    0.629115         NaN
62    0.646759         NaN
63    0.646031         NaN
64    0.588144         NaN
65    0.561601         NaN
66    0.581111         NaN
67    0.613718         NaN
68    0.581593         NaN
69    0.585707         NaN
70    0.555298         NaN
71    0.514898         NaN
72    0.518627         NaN
73    0.585187         NaN
74    0.554700         NaN
75    0.476529         NaN
76    0.619342         NaN
77    0.547264         NaN
78    0.829878         NaN
79    0.707352         NaN
80    0.547249         NaN
81    0.608463         NaN
82    0.517306         NaN
83    0.712934         NaN
84    0.841993         NaN
85    0.629431         NaN
86    0.565605         NaN
87    0.597926         NaN
88    0.566634         NaN
89    0.545189         NaN
90    0.548066         NaN
91    0.509551         NaN
92    0.474641         NaN
93    0.583706         NaN
94    0.578019         NaN
95    0.477151         NaN
96    0.487537         NaN
97    0.455334         NaN
98    0.486956         NaN
99    0.463012         NaN
100   0.478607    0.478144
101   0.470208         NaN
102   0.444251         NaN
103   0.476298         NaN
104   0.449792         NaN
105   0.464465         NaN
106   0.411409         NaN
107   0.442951         NaN
108   0.455904         NaN
109   0.468335         NaN
110   0.443879         NaN
111   0.520536         NaN
112   0.470680         NaN
113   0.476937         NaN
114   0.454149         NaN
115   0.465074         NaN
116   0.419159         NaN
117   0.433987         NaN
118   0.451367         NaN
119   0.399328         NaN
120   0.415934         NaN
121   0.412033         NaN
122   0.396832         NaN
123   0.423500         NaN
124   0.405766         NaN
125   0.500743         NaN
126   0.462037         NaN
127   0.386030         NaN
128   0.424596         NaN
129   0.400050         NaN
130   0.371383         NaN
131   0.384009         NaN
132   0.383792         NaN
133   0.347867         NaN
134   0.412047         NaN
135   0.404485         NaN
136   0.346565         NaN
137   0.362304         NaN
138   0.346337         NaN
139   0.378222         NaN
140   0.366963         NaN
141   0.352682         NaN
142   0.405693         NaN
143   0.413816         NaN
144   0.328689         NaN
145   0.352379         NaN
146   0.344635         NaN
147   0.327999         NaN
148   0.327181         NaN
149   0.335478         NaN
150   0.365835         NaN
151   0.336778         NaN
152   0.363330         NaN
153   0.346476         NaN
154   0.363400         NaN
155   0.388056         NaN
156   0.384144         NaN
157   0.376499         NaN
158   0.321352         NaN
159   0.389414         NaN
160   0.360911         NaN
161   0.322189         NaN
162   0.321806         NaN
163   0.334154         NaN
164   0.326186         NaN
165   0.353215         NaN
166   0.329529         NaN
167   0.374617         NaN
168   0.355907         NaN
169   0.306259         NaN
170   0.287502         NaN
171   0.353540         NaN
172   0.331464         NaN
173   0.326736         NaN
174   0.332372         NaN
175   0.305476         NaN
176   0.288682         NaN
177   0.349887         NaN
178   0.314870         NaN
179   0.327866         NaN
180   0.305022         NaN
181   0.312581         NaN
182   0.283672         NaN
183   0.294182         NaN
184   0.316662         NaN
185   0.348638         NaN
186   0.284583         NaN
187   0.313573         NaN
188   0.296041         NaN
189   0.292449         NaN
190   0.288105         NaN
191   0.318884         NaN
192   0.288221         NaN
193   0.301591         NaN
194   0.286027         NaN
195   0.300749         NaN
196   0.305809         NaN
197   0.314000         NaN
198   0.296714         NaN
199   0.276672         NaN
200   0.302910    0.287596
201   0.276242         NaN
202   0.298161         NaN
203   0.312653         NaN
204   0.306356         NaN
205   0.325639         NaN
206   0.283808         NaN
207   0.338786         NaN
208   0.366459         NaN
209   0.292928         NaN
210   0.346292         NaN
211   0.405408         NaN
212   0.371927         NaN
213   0.309022         NaN
214   0.317219         NaN
215   0.331590         NaN
216   0.305670         NaN
217   0.286416         NaN
218   0.310224         NaN
219   0.308644         NaN
220   0.303074         NaN
221   0.316442         NaN
222   0.310145         NaN
223   0.309176         NaN
224   0.323104         NaN
225   0.284518         NaN
226   0.295017         NaN
227   0.332807         NaN
228   0.296605         NaN
229   0.276730         NaN
230   0.312952         NaN
231   0.302713         NaN
232   0.273642         NaN
233   0.298046         NaN
234   0.276706         NaN
235   0.276467         NaN
236   0.271562         NaN
237   0.276100         NaN
238   0.271811         NaN
239   0.266753         NaN
240   0.261321         NaN
241   0.282700         NaN
242   0.277979         NaN
