<pixelCNNMADE.PixelCNNMADE object at 0x7f78092622b0>
         Train  Validation
1     2.047549    1.929012
2     1.935829         NaN
3     1.692774         NaN
4     2.063999         NaN
5     1.948609         NaN
6     1.487318         NaN
7     1.439390         NaN
8     1.417049         NaN
9     1.351936         NaN
10    1.400973         NaN
11    1.332687         NaN
12    1.285643         NaN
13    1.300657         NaN
14    1.277633         NaN
15    1.237328         NaN
16    1.173435         NaN
17    1.174734         NaN
18    1.160965         NaN
19    1.170848         NaN
20    1.159501         NaN
21    1.116104         NaN
22    1.092880         NaN
23    1.116790         NaN
24    1.098017         NaN
25    1.111111         NaN
26    1.089757         NaN
27    1.020515         NaN
28    1.065650         NaN
29    1.024709         NaN
30    1.038504         NaN
31    1.036207         NaN
32    0.994083         NaN
33    1.053310         NaN
34    1.007492         NaN
35    0.946474         NaN
36    0.929238         NaN
37    0.901575         NaN
38    0.867698         NaN
39    1.003832         NaN
40    0.916958         NaN
41    0.962955         NaN
42    0.821089         NaN
43    0.928438         NaN
44    0.871376         NaN
45    0.845333         NaN
46    0.825490         NaN
47    0.894558         NaN
48    0.853635         NaN
49    0.899287         NaN
50    0.874065         NaN
51    0.806766         NaN
52    0.864103         NaN
53    0.825533         NaN
54    0.874254         NaN
55    0.915253         NaN
56    0.809740         NaN
57    0.815462         NaN
58    0.851141         NaN
59    0.765434         NaN
60    0.821820         NaN
61    0.820896         NaN
62    0.820828         NaN
63    0.826039         NaN
64    0.755792         NaN
65    0.754871         NaN
66    0.756959         NaN
67    0.784880         NaN
68    0.718869         NaN
69    0.744736         NaN
70    0.760381         NaN
71    0.713386         NaN
72    0.819618         NaN
73    0.976301         NaN
74    0.780313         NaN
75    0.702300         NaN
76    0.758268         NaN
77    0.672427         NaN
78    0.734994         NaN
79    0.755321         NaN
80    0.675726         NaN
81    0.726125         NaN
82    0.754852         NaN
83    0.711817         NaN
84    0.674235         NaN
85    0.732935         NaN
86    0.727663         NaN
87    0.664643         NaN
88    0.667013         NaN
89    0.669218         NaN
90    0.626105         NaN
91    0.619339         NaN
92    0.595544         NaN
93    0.737338         NaN
94    0.651244         NaN
95    0.603002         NaN
96    0.629966         NaN
97    0.581950         NaN
98    0.579602         NaN
99    0.571661         NaN
100   0.670270    0.588289
101   0.575899         NaN
102   0.592104         NaN
103   0.557752         NaN
104   0.527635         NaN
105   0.570934         NaN
106   0.513901         NaN
107   0.533438         NaN
108   0.531322         NaN
109   0.751765         NaN
110   0.502510         NaN
