<pixelCNNMADE.PixelCNNMADE object at 0x7fb875860710>
         Train  Validation
1     2.047549    1.937448
2     1.944499         NaN
3     1.730792         NaN
4     1.818713         NaN
5     1.812427         NaN
6     1.482171         NaN
7     1.432915         NaN
8     1.382263         NaN
9     1.355444         NaN
10    1.355699         NaN
11    1.310483         NaN
12    1.264409         NaN
13    1.292086         NaN
14    1.259260         NaN
15    1.218806         NaN
16    1.169140         NaN
17    1.170967         NaN
18    1.149061         NaN
19    1.168710         NaN
20    1.160667         NaN
21    1.102781         NaN
22    1.087591         NaN
23    1.059479         NaN
24    1.066334         NaN
25    1.040535         NaN
26    1.012447         NaN
27    1.022068         NaN
28    0.964234         NaN
29    0.983095         NaN
30    1.018487         NaN
31    1.000096         NaN
32    0.990623         NaN
33    0.960650         NaN
34    0.892602         NaN
35    0.929435         NaN
36    0.875870         NaN
37    0.917821         NaN
38    0.883458         NaN
39    0.898905         NaN
40    0.828341         NaN
41    0.841275         NaN
42    0.822976         NaN
43    0.863683         NaN
44    0.822859         NaN
45    0.797746         NaN
46    0.947507         NaN
47    0.867089         NaN
48    0.926712         NaN
49    0.914327         NaN
50    0.831585         NaN
51    0.956694         NaN
52    1.044653         NaN
53    0.847829         NaN
54    0.865385         NaN
55    0.890496         NaN
56    0.827522         NaN
57    0.806018         NaN
58    0.857199         NaN
59    0.813956         NaN
60    0.830045         NaN
61    0.887480         NaN
62    0.838609         NaN
63    0.788699         NaN
64    0.767114         NaN
65    0.748347         NaN
66    0.761324         NaN
67    0.786429         NaN
68    0.761602         NaN
69    0.752693         NaN
70    0.794690         NaN
71    0.816791         NaN
72    0.719083         NaN
73    0.766741         NaN
74    0.817249         NaN
75    0.706679         NaN
76    0.713391         NaN
77    0.719856         NaN
78    0.690595         NaN
79    0.701337         NaN
80    0.705412         NaN
81    0.680361         NaN
82    0.670787         NaN
83    0.662313         NaN
84    0.680219         NaN
85    0.715779         NaN
86    0.680200         NaN
87    0.649305         NaN
88    0.679189         NaN
89    0.622064         NaN
90    0.654022         NaN
91    0.631789         NaN
92    0.554253         NaN
93    0.686432         NaN
94    0.695662         NaN
95    0.637666         NaN
96    0.619740         NaN
97    0.650513         NaN
98    0.567307         NaN
99    0.844795         NaN
100   0.926932    0.694713
101   0.684834         NaN
102   0.674418         NaN
103   0.737953         NaN
104   0.591619         NaN
105   0.688924         NaN
106   0.720172         NaN
107   0.616844         NaN
108   0.615270         NaN
109   0.593340         NaN
110   0.547187         NaN
111   0.651825         NaN
112   0.576172         NaN
113   0.571582         NaN
114   0.613106         NaN
115   0.622454         NaN
116   0.545898         NaN
117   0.536751         NaN
118   0.571898         NaN
119   0.541969         NaN
120   0.501026         NaN
121   0.608044         NaN
122   0.622047         NaN
123   0.688426         NaN
124   0.613217         NaN
125   0.546273         NaN
126   0.528381         NaN
127   0.529804         NaN
128   0.548830         NaN
129   0.540825         NaN
130   0.504416         NaN
131   0.549340         NaN
132   0.490635         NaN
133   0.447866         NaN
134   0.611090         NaN
135   0.499121         NaN
136   0.744945         NaN
137   0.929191         NaN
138   0.604641         NaN
139   0.509770         NaN
140   0.568643         NaN
141   0.513409         NaN
142   0.576112         NaN
143   0.559783         NaN
144   0.467743         NaN
145   0.542269         NaN
146   0.489389         NaN
147   0.441031         NaN
148   0.574673         NaN
149   0.524337         NaN
150   0.596945         NaN
151   0.614245         NaN
152   0.573039         NaN
153   0.532393         NaN
154   0.513371         NaN
155   0.433250         NaN
156   0.441490         NaN
157   0.627741         NaN
158   0.459139         NaN
159   0.757538         NaN
160   0.748004         NaN
161   0.516152         NaN
162   0.637260         NaN
163   0.722728         NaN
164   0.611476         NaN
165   0.552591         NaN
166   0.596619         NaN
167   0.567580         NaN
168   0.494508         NaN
169   0.474193         NaN
170   0.443752         NaN
171   0.449495         NaN
172   0.471170         NaN
173   0.428422         NaN
174   0.503969         NaN
175   0.496671         NaN
176   0.476800         NaN
177   0.487606         NaN
178   0.458866         NaN
179   0.463564         NaN
180   0.517041         NaN
181   0.514673         NaN
182   0.452785         NaN
183   0.422259         NaN
184   0.427071         NaN
185   0.453447         NaN
186   0.429318         NaN
187   0.453184         NaN
188   0.422600         NaN
189   0.441570         NaN
190   0.399888         NaN
191   0.432190         NaN
192   0.464300         NaN
193   0.451211         NaN
194   0.387992         NaN
195   0.390102         NaN
196   0.438357         NaN
197   0.427182         NaN
198   0.396257         NaN
199   0.384374         NaN
200   0.393071    0.377457
201   0.361731         NaN
202   0.447781         NaN
203   0.477337         NaN
204   0.390219         NaN
205   0.406197         NaN
206   0.386937         NaN
207   0.353438         NaN
208   0.502804         NaN
209   0.501792         NaN
210   0.368686         NaN
211   0.542040         NaN
212   0.676401         NaN
213   0.489250         NaN
214   0.517321         NaN
215   0.513553         NaN
216   0.419841         NaN
217   0.437036         NaN
218   0.559623         NaN
219   0.488503         NaN
220   0.471620         NaN
221   0.522964         NaN
222   0.412021         NaN
223   0.442519         NaN
224   0.466854         NaN
225   0.410957         NaN
226   0.381952         NaN
227   0.427973         NaN
228   0.390633         NaN
229   0.372391         NaN
230   0.424078         NaN
231   0.365228         NaN
232   0.367328         NaN
233   0.385993         NaN
234   0.360533         NaN
235   0.360846         NaN
236   0.349084         NaN
237   0.380552         NaN
238   0.353887         NaN
239   0.417927         NaN
240   0.425878         NaN
241   0.360471         NaN
242   0.373048         NaN
243   0.352774         NaN
244   0.447804         NaN
245   0.428271         NaN
246   0.357336         NaN
247   0.389526         NaN
248   0.350982         NaN
249   0.406787         NaN
250   0.356925         NaN
251   0.387366         NaN
252   0.369714         NaN
253   0.324168         NaN
254   0.336965         NaN
255   0.361364         NaN
256   0.356220         NaN
257   0.381643         NaN
258   0.433333         NaN
259   0.358532         NaN
260   0.481710         NaN
261   0.702274         NaN
262   0.490349         NaN
263   0.346435         NaN
264   0.391757         NaN
265   0.412845         NaN
266   0.396662         NaN
267   0.365218         NaN
268   0.320283         NaN
269   0.381804         NaN
270   0.422344         NaN
271   0.352417         NaN
272   0.380187         NaN
273   0.369608         NaN
274   0.380960         NaN
275   0.357220         NaN
276   0.340657         NaN
277   0.326140         NaN
278   0.369004         NaN
279   0.340651         NaN
280   0.342891         NaN
281   0.329934         NaN
282   0.325139         NaN
283   0.307247         NaN
284   0.341558         NaN
285   0.318152         NaN
286   0.350748         NaN
287   0.327627         NaN
288   0.326443         NaN
289   0.305664         NaN
290   0.332009         NaN
291   0.326582         NaN
292   0.327316         NaN
293   0.319511         NaN
294   0.319914         NaN
295   0.326074         NaN
296   0.295502         NaN
297   0.324329         NaN
298   0.298635         NaN
299   0.294236         NaN
300   0.325238    0.315554
301   0.338242         NaN
302   0.332591         NaN
303   0.317345         NaN
304   0.322265         NaN
305   0.313026         NaN
306   0.324002         NaN
307   0.286600         NaN
308   0.307220         NaN
309   0.319342         NaN
310   0.300172         NaN
311   0.312494         NaN
312   0.333248         NaN
313   0.313651         NaN
314   0.306037         NaN
315   0.294277         NaN
316   0.312586         NaN
317   0.303213         NaN
318   0.300910         NaN
319   0.297121         NaN
320   0.287620         NaN
321   0.311664         NaN
322   0.320533         NaN
323   0.296188         NaN
324   0.312872         NaN
325   0.328630         NaN
326   0.301337         NaN
327   0.285173         NaN
328   0.300079         NaN
329   0.338308         NaN
330   0.295567         NaN
331   0.316981         NaN
332   0.291796         NaN
333   0.299163         NaN
334   0.287428         NaN
335   0.301499         NaN
336   0.317734         NaN
337   0.300185         NaN
338   0.286847         NaN
339   0.278747         NaN
340   0.293453         NaN
341   0.314229         NaN
342   0.281883         NaN
343   0.278282         NaN
344   0.310004         NaN
345   0.305913         NaN
346   0.309531         NaN
347   0.284321         NaN
348   0.281156         NaN
349   0.283333         NaN
350   0.288574         NaN
351   0.282995         NaN
352   0.288657         NaN
353   0.275313         NaN
354   0.322855         NaN
355   0.302516         NaN
356   0.319327         NaN
357   0.349714         NaN
358   0.304942         NaN
359   0.305866         NaN
360   0.306738         NaN
361   0.326183         NaN
362   0.312828         NaN
363   0.292119         NaN
364   0.312211         NaN
365   0.299381         NaN
366   0.312621         NaN
367   0.318655         NaN
368   0.340330         NaN
369   0.311862         NaN
370   0.302733         NaN
371   0.329991         NaN
372   0.326596         NaN
373   0.332405         NaN
374   0.315209         NaN
375   0.290136         NaN
376   0.298329         NaN
377   0.275943         NaN
378   0.299023         NaN
379   0.308927         NaN
380   0.294341         NaN
381   0.281071         NaN
382   0.318021         NaN
383   0.306597         NaN
384   0.268437         NaN
385   0.287577         NaN
386   0.305813         NaN
