<pixelCNNMADE.PixelCNNMADE object at 0x7f19f72cbbe0>
         Train  Validation
1     2.047220    1.996407
2     2.003592         NaN
3     1.934733         NaN
4     1.825937         NaN
5     1.786646         NaN
6     1.670588         NaN
7     1.541084         NaN
8     1.485471         NaN
9     1.439901         NaN
10    1.426933         NaN
11    1.373239         NaN
12    1.304612         NaN
13    1.335760         NaN
14    1.312041         NaN
15    1.262451         NaN
16    1.213010         NaN
17    1.208141         NaN
18    1.201095         NaN
19    1.228812         NaN
20    1.184887         NaN
21    1.150761         NaN
22    1.187889         NaN
23    1.133612         NaN
24    1.142509         NaN
25    1.110622         NaN
26    1.093512         NaN
27    1.057777         NaN
28    1.050683         NaN
29    1.046074         NaN
30    1.085643         NaN
31    1.020740         NaN
32    1.029245         NaN
33    1.009664         NaN
34    0.998051         NaN
35    1.006956         NaN
36    1.044654         NaN
37    1.012459         NaN
38    0.956928         NaN
39    0.988007         NaN
40    0.946951         NaN
41    0.942378         NaN
42    0.979000         NaN
43    1.027678         NaN
44    0.922473         NaN
45    1.001386         NaN
46    1.014112         NaN
47    0.958172         NaN
48    0.955187         NaN
49    0.944461         NaN
50    0.955133         NaN
51    0.865818         NaN
52    0.881804         NaN
53    0.922075         NaN
54    0.890291         NaN
55    0.899174         NaN
56    0.906636         NaN
57    0.832437         NaN
58    0.864282         NaN
59    0.834379         NaN
60    0.836829         NaN
61    0.884504         NaN
62    0.903774         NaN
63    0.838372         NaN
64    0.814246         NaN
65    0.814141         NaN
66    0.813210         NaN
67    0.817815         NaN
68    0.915853         NaN
69    0.879642         NaN
70    0.819084         NaN
71    0.825981         NaN
72    0.770618         NaN
73    0.828115         NaN
74    0.813951         NaN
75    0.764803         NaN
76    0.742156         NaN
77    0.709413         NaN
78    0.727618         NaN
79    0.711406         NaN
80    0.696370         NaN
81    0.675159         NaN
82    0.674497         NaN
83    0.676522         NaN
84    0.680965         NaN
85    1.293213         NaN
86    1.104308         NaN
87    0.844461         NaN
88    0.876423         NaN
89    0.730032         NaN
90    0.807814         NaN
91    0.733552         NaN
92    0.863968         NaN
93    0.937635         NaN
94    0.786798         NaN
95    0.749950         NaN
96    0.811339         NaN
97    0.724934         NaN
98    0.763643         NaN
99    0.806291         NaN
100   0.718736    0.694811
101   0.676712         NaN
102   0.687203         NaN
103   0.695090         NaN
104   0.671970         NaN
105   0.699578         NaN
106   0.639822         NaN
107   0.608090         NaN
108   0.663796         NaN
109   0.651664         NaN
110   0.575404         NaN
111   0.682362         NaN
112   0.622424         NaN
113   0.618701         NaN
114   0.596561         NaN
115   0.686165         NaN
116   0.691867         NaN
117   0.617360         NaN
118   0.835339         NaN
119   0.646506         NaN
120   0.650657         NaN
121   0.689780         NaN
122   0.585101         NaN
123   0.618222         NaN
124   0.580784         NaN
125   0.594197         NaN
126   0.571835         NaN
127   0.598799         NaN
128   0.610740         NaN
129   0.612622         NaN
130   0.531115         NaN
131   1.014925         NaN
132   1.158503         NaN
133   0.569046         NaN
134   0.698762         NaN
135   0.777737         NaN
136   0.633907         NaN
137   0.585709         NaN
138   0.624120         NaN
139   0.530614         NaN
140   0.562572         NaN
141   0.597708         NaN
142   0.576659         NaN
143   0.625541         NaN
144   0.543191         NaN
145   0.578324         NaN
146   0.569755         NaN
147   0.516596         NaN
148   0.525131         NaN
149   0.532072         NaN
150   0.574096         NaN
151   0.528750         NaN
152   0.554900         NaN
153   0.519758         NaN
154   0.551331         NaN
155   0.502336         NaN
156   0.524434         NaN
157   0.559630         NaN
158   0.521749         NaN
159   0.630258         NaN
160   0.529445         NaN
161   0.604042         NaN
162   0.758108         NaN
163   0.559560         NaN
164   0.517599         NaN
165   0.562200         NaN
166   0.513513         NaN
167   0.535445         NaN
168   0.520348         NaN
169   0.489709         NaN
170   0.468153         NaN
171   0.500596         NaN
172   0.478857         NaN
173   0.486939         NaN
174   0.492894         NaN
175   0.461979         NaN
176   0.471857         NaN
177   0.495333         NaN
178   0.471986         NaN
179   0.475886         NaN
180   0.429510         NaN
181   0.534140         NaN
182   0.457633         NaN
183   0.541774         NaN
184   0.627610         NaN
185   0.527903         NaN
186   0.579910         NaN
187   0.557420         NaN
188   0.433967         NaN
189   0.475806         NaN
190   0.411336         NaN
191   0.659860         NaN
