Name: PixelCNN
Factorised: False
Learning rate: 0.001

         Train  Validation
1     1.974729    1.752278
2     1.767866         NaN
3     1.575794         NaN
4     1.419004         NaN
5     1.386111         NaN
6     1.356025         NaN
7     1.320847         NaN
8     1.258549         NaN
9     1.222390         NaN
10    1.272942         NaN
11    1.212610         NaN
12    1.158699         NaN
13    1.196923         NaN
14    1.158882         NaN
15    1.179575         NaN
16    1.123746         NaN
17    1.112619         NaN
18    1.084652         NaN
19    1.113718         NaN
20    1.123174         NaN
21    1.028267         NaN
22    1.104915         NaN
23    1.117760         NaN
24    1.019883         NaN
25    1.090482         NaN
26    1.137050         NaN
27    0.987462         NaN
28    1.001896         NaN
29    0.982298         NaN
30    1.041513         NaN
31    0.948061         NaN
32    0.964569         NaN
33    0.938514         NaN
34    0.903692         NaN
35    0.939668         NaN
36    0.919710         NaN
37    0.887430         NaN
38    0.877060         NaN
39    0.878433         NaN
40    0.840823         NaN
41    0.842442         NaN
42    0.839686         NaN
43    0.835496         NaN
44    0.823254         NaN
45    0.810692         NaN
46    0.766285         NaN
47    0.934864         NaN
48    0.915115         NaN
49    0.780552         NaN
50    0.840280         NaN
51    0.778175         NaN
52    0.747169         NaN
53    0.773734         NaN
54    0.779721         NaN
55    0.732243         NaN
56    0.721508         NaN
57    0.684938         NaN
58    0.704587         NaN
59    0.673741         NaN
60    0.683091         NaN
61    0.690629         NaN
62    0.712473         NaN
63    0.666355         NaN
64    0.631884         NaN
65    0.600180         NaN
66    0.726977         NaN
67    0.670897         NaN
68    0.716418         NaN
69    0.774060         NaN
70    0.631866         NaN
71    0.636180         NaN
72    0.609903         NaN
73    0.657973         NaN
74    0.663623         NaN
75    0.592327         NaN
76    0.592364         NaN
77    0.556660         NaN
78    0.598089         NaN
79    0.658410         NaN
80    0.593571         NaN
81    0.683944         NaN
82    0.591429         NaN
83    0.643708         NaN
84    0.648283         NaN
85    0.619714         NaN
86    0.632658         NaN
87    0.592207         NaN
88    0.681572         NaN
89    0.668363         NaN
90    0.558737         NaN
91    0.512008         NaN
92    0.530062         NaN
93    0.581577         NaN
94    0.639752         NaN
95    0.517583         NaN
96    0.598467         NaN
97    0.528366         NaN
98    0.537153         NaN
99    0.540983         NaN
100   0.534152    0.564562
101   0.553879         NaN
102   0.489557         NaN
103   0.494712         NaN
104   0.484726         NaN
105   0.509816         NaN
106   0.469500         NaN
107   0.450838         NaN
108   0.502212         NaN
109   0.526387         NaN
110   0.447371         NaN
111   0.590543         NaN
112   0.536721         NaN
113   0.525531         NaN
114   0.493600         NaN
115   0.513916         NaN
116   0.474822         NaN
117   0.446662         NaN
118   0.461435         NaN
119   0.534330         NaN
120   0.477708         NaN
121   0.632835         NaN
122   0.586189         NaN
123   0.542985         NaN
124   0.578756         NaN
125   0.507093         NaN
126   0.488890         NaN
127   0.481451         NaN
128   0.477985         NaN
129   0.452863         NaN
130   0.422196         NaN
131   0.457700         NaN
132   0.420521         NaN
133   0.374974         NaN
134   0.523444         NaN
135   0.446895         NaN
136   0.597013         NaN
137   0.729109         NaN
138   0.476860         NaN
139   0.572188         NaN
140   0.667208         NaN
141   0.448682         NaN
142   0.661743         NaN
143   0.724828         NaN
144   0.470984         NaN
145   0.472623         NaN
146   0.489153         NaN
147   0.403847         NaN
148   0.413260         NaN
149   0.447420         NaN
150   0.446838         NaN
151   0.452842         NaN
152   0.441052         NaN
153   0.394233         NaN
154   0.433679         NaN
155   0.398965         NaN
156   0.356784         NaN
157   0.442600         NaN
158   0.376926         NaN
159   0.421627         NaN
160   0.382136         NaN
161   0.355334         NaN
162   0.387504         NaN
163   0.359415         NaN
164   0.361663         NaN
