Name: PixelCNN
Factorised: True
Learning rate: 0.001

         Train  Validation
1     1.874610    1.458830
2     1.451339         NaN
3     1.819284         NaN
4     1.377302         NaN
5     1.328033         NaN
6     1.246314         NaN
7     1.162663         NaN
8     1.168706         NaN
9     1.119324         NaN
10    1.094193         NaN
11    1.096604         NaN
12    1.031947         NaN
13    1.033782         NaN
14    1.008002         NaN
15    1.012545         NaN
16    0.942656         NaN
17    0.962264         NaN
18    0.946874         NaN
19    0.950015         NaN
20    0.932156         NaN
21    0.896855         NaN
22    0.902721         NaN
23    0.859732         NaN
24    0.834575         NaN
25    0.877435         NaN
26    0.826932         NaN
27    1.051055         NaN
28    0.906178         NaN
29    0.835710         NaN
30    0.922462         NaN
31    0.746436         NaN
32    0.777463         NaN
33    0.761366         NaN
34    0.724459         NaN
35    0.773512         NaN
36    0.747779         NaN
37    0.696504         NaN
38    0.705076         NaN
39    0.743665         NaN
40    0.687844         NaN
41    0.670861         NaN
42    0.652715         NaN
43    0.685553         NaN
44    0.665728         NaN
45    0.666284         NaN
46    0.607380         NaN
47    0.669953         NaN
48    0.627974         NaN
49    0.607494         NaN
50    0.616180         NaN
51    0.582985         NaN
52    0.583459         NaN
53    0.571994         NaN
54    0.674862         NaN
55    0.607920         NaN
56    0.747466         NaN
57    0.681975         NaN
58    0.569851         NaN
59    0.645654         NaN
60    0.585381         NaN
61    0.654872         NaN
62    0.633778         NaN
63    0.625235         NaN
64    0.577221         NaN
65    0.538143         NaN
66    0.556580         NaN
67    0.573242         NaN
68    0.541780         NaN
69    0.567914         NaN
70    0.545669         NaN
71    0.541905         NaN
72    0.511478         NaN
73    0.560081         NaN
74    0.542043         NaN
75    0.532680         NaN
76    0.581368         NaN
77    0.517556         NaN
78    0.515075         NaN
79    0.530291         NaN
80    0.501569         NaN
81    0.505821         NaN
82    0.471308         NaN
83    0.553923         NaN
84    0.537548         NaN
85    0.522068         NaN
86    0.493919         NaN
87    0.520853         NaN
88    0.503948         NaN
89    0.513930         NaN
90    0.514635         NaN
91    0.499958         NaN
92    0.458479         NaN
93    0.484593         NaN
94    0.500829         NaN
95    0.591213         NaN
96    0.636478         NaN
97    0.458840         NaN
98    0.509339         NaN
99    0.581453         NaN
100   0.499206    0.550440
101   0.536659         NaN
102   0.540501         NaN
103   0.499578         NaN
104   0.496601         NaN
105   0.497552         NaN
106   0.475397         NaN
107   0.458330         NaN
108   0.442338         NaN
109   0.452331         NaN
110   0.405249         NaN
111   0.491897         NaN
112   0.476409         NaN
113   0.467069         NaN
114   0.456200         NaN
115   0.484468         NaN
116   0.450766         NaN
117   0.426391         NaN
118   0.438719         NaN
119   0.412035         NaN
120   0.453108         NaN
121   0.493569         NaN
122   0.454133         NaN
123   0.450068         NaN
124   0.450406         NaN
125   0.452929         NaN
126   0.423214         NaN
127   0.431701         NaN
128   0.518195         NaN
129   0.475395         NaN
130   0.514723         NaN
131   0.525704         NaN
132   0.464728         NaN
133   0.416665         NaN
134   0.471493         NaN
135   0.473207         NaN
136   0.412377         NaN
137   0.420337         NaN
138   0.418026         NaN
139   0.412566         NaN
140   0.410549         NaN
141   0.401329         NaN
142   0.449442         NaN
143   0.426277         NaN
144   0.428904         NaN
145   0.444246         NaN
146   0.456824         NaN
147   0.445710         NaN
148   0.388718         NaN
149   0.397872         NaN
150   0.445322         NaN
151   0.415211         NaN
152   0.466381         NaN
153   0.433875         NaN
154   0.489629         NaN
155   0.453054         NaN
156   0.416859         NaN
157   0.449878         NaN
158   0.398865         NaN
159   0.446780         NaN
160   0.401944         NaN
161   0.396092         NaN
162   0.416552         NaN
163   0.395986         NaN
164   0.479544         NaN
165   0.494318         NaN
166   0.434200         NaN
167   0.434690         NaN
168   0.426541         NaN
169   0.401172         NaN
170   0.398516         NaN
171   0.419120         NaN
172   0.423562         NaN
173   0.407947         NaN
174   0.435155         NaN
175   0.402367         NaN
176   0.373174         NaN
177   0.407184         NaN
178   0.428809         NaN
179   0.432218         NaN
180   0.375295         NaN
181   0.393164         NaN
182   0.373230         NaN
183   0.357000         NaN
184   0.414632         NaN
185   0.457508         NaN
186   0.379045         NaN
